cell_id,lat,lon,lat_min,lon_min,land_frac
03825_01525,38.25,15.25,38.2,15.2,0.1357
03825_01535,38.25,15.35,38.2,15.3,0.1859
03825_01545,38.25,15.45,38.2,15.4,0.5499
03825_01555,38.25,15.55,38.2,15.5,0.7651
03825_01565,38.25,15.65,38.2,15.6,0.3429
03825_01575,38.25,15.75,38.2,15.7,0.6224
03825_01585,38.25,15.85,38.2,15.8,0.988
03825_01595,38.25,15.95,38.2,15.9,1.0
03825_01605,38.25,16.05,38.2,16.0,1.0
03825_01615,38.25,16.15,38.2,16.1,1.0
03825_01625,38.25,16.25,38.2,16.2,0.7746
03825_01635,38.25,16.35,38.2,16.3,0.0513
03835_01495,38.35,14.95,38.3,14.9,0.1357
03835_01585,38.35,15.85,38.3,15.8,0.621
03835_01595,38.35,15.95,38.3,15.9,1.0
03835_01605,38.35,16.05,38.3,16.0,1.0
03835_01615,38.35,16.15,38.3,16.1,1.0
03835_01625,38.35,16.25,38.3,16.2,1.0
03835_01635,38.35,16.35,38.3,16.3,0.942
03835_01645,38.35,16.45,38.3,16.4,0.6409
03835_01655,38.35,16.55,38.3,16.5,0.0825
03845_01495,38.45,14.95,38.4,14.9,0.352
03845_01585,38.45,15.85,38.4,15.8,0.097
03845_01595,38.45,15.95,38.4,15.9,0.9443
03845_01605,38.45,16.05,38.4,16.0,1.0
03845_01615,38.45,16.15,38.4,16.1,1.0
03845_01625,38.45,16.25,38.4,16.2,1.0
03845_01635,38.45,16.35,38.4,16.3,1.0
03845_01645,38.45,16.45,38.4,16.4,1.0
03845_01655,38.45,16.55,38.4,16.5,0.7406
03855_01435,38.55,14.35,38.5,14.3,0.0527
03855_01455,38.55,14.55,38.5,14.5,0.0965
03855_01485,38.55,14.85,38.5,14.8,0.2686
03855_01495,38.55,14.95,38.5,14.9,0.1171
03855_01585,38.55,15.85,38.5,15.8,0.0588
03855_01595,38.55,15.95,38.5,15.9,0.8515
03855_01605,38.55,16.05,38.5,16.0,1.0
03855_01615,38.55,16.15,38.5,16.1,1.0
03855_01625,38.55,16.25,38.5,16.2,1.0
03855_01635,38.55,16.35,38.5,16.3,1.0
03855_01645,38.55,16.45,38.5,16.4,1.0
03855_01655,38.55,16.55,38.5,16.5,0.7243
03865_01585,38.65,15.85,38.6,15.8,0.4258
03865_01595,38.65,15.95,38.6,15.9,0.9275
03865_01605,38.65,16.05,38.6,16.0,1.0
03865_01615,38.65,16.15,38.6,16.1,1.0
03865_01625,38.65,16.25,38.6,16.2,1.0
03865_01635,38.65,16.35,38.6,16.3,1.0
03865_01645,38.65,16.45,38.6,16.4,1.0
03865_01655,38.65,16.55,38.6,16.5,0.5804
03875_01315,38.75,13.15,38.7,13.1,0.0631
03875_01525,38.75,15.25,38.7,15.2,0.0807
03875_01595,38.75,15.95,38.7,15.9,0.0672
03875_01605,38.75,16.05,38.7,16.0,0.2215
03875_01615,38.75,16.15,38.7,16.1,0.3207
03875_01625,38.75,16.25,38.7,16.2,0.9898
03875_01635,38.75,16.35,38.7,16.3,1.0
03875_01645,38.75,16.45,38.7,16.4,1.0
03875_01655,38.75,16.55,38.7,16.5,0.6113
03885_00865,38.85,8.65,38.8,8.6,0.0675
03885_00885,38.85,8.85,38.8,8.8,0.1162
03885_01625,38.85,16.25,38.8,16.2,0.8142
03885_01635,38.85,16.35,38.8,16.3,1.0
03885_01645,38.85,16.45,38.8,16.4,1.0
03885_01655,38.85,16.55,38.8,16.5,0.9997
03885_01665,38.85,16.65,38.8,16.6,0.6618
03885_01675,38.85,16.75,38.8,16.7,0.1698
03895_00845,38.95,8.45,38.9,8.4,0.1807
03895_00855,38.95,8.55,38.9,8.5,0.096
03895_00865,38.95,8.65,38.9,8.6,0.8549
03895_00875,38.95,8.75,38.9,8.7,0.8172
03895_00885,38.95,8.85,38.9,8.8,0.9988
03895_00895,38.95,8.95,38.9,8.9,0.5578
03895_01615,38.95,16.15,38.9,16.1,0.3158
03895_01625,38.95,16.25,38.9,16.2,0.944
03895_01635,38.95,16.35,38.9,16.3,1.0
03895_01645,38.95,16.45,38.9,16.4,1.0
03895_01655,38.95,16.55,38.9,16.5,1.0
