cell_id,parent_id,lat,lon,lat_min,lon_min,land_frac
037638_013162,03765_01315,37.6375,13.1625,37.625,13.15,1.0
037638_013188,03765_01315,37.6375,13.1875,37.625,13.175,1.0
037638_013312,03765_01335,37.6375,13.3125,37.625,13.3,1.0
037638_013338,03765_01335,37.6375,13.3375,37.625,13.325,1.0
037638_013362,03765_01335,37.6375,13.3625,37.625,13.35,1.0
037638_013388,03765_01335,37.6375,13.3875,37.625,13.375,1.0
037638_013412,03765_01345,37.6375,13.4125,37.625,13.4,1.0
037638_013438,03765_01345,37.6375,13.4375,37.625,13.425,1.0
037638_013462,03765_01345,37.6375,13.4625,37.625,13.45,1.0
037638_013488,03765_01345,37.6375,13.4875,37.625,13.475,1.0
037638_013512,03765_01355,37.6375,13.5125,37.625,13.5,1.0
037638_013538,03765_01355,37.6375,13.5375,37.625,13.525,1.0
037638_013562,03765_01355,37.6375,13.5625,37.625,13.55,1.0
037638_013588,03765_01355,37.6375,13.5875,37.625,13.575,1.0
037638_014412,03765_01445,37.6375,14.4125,37.625,14.4,1.0
037638_014438,03765_01445,37.6375,14.4375,37.625,14.425,1.0
037638_014462,03765_01445,37.6375,14.4625,37.625,14.45,1.0
037638_014488,03765_01445,37.6375,14.4875,37.625,14.475,1.0
037638_014912,03765_01495,37.6375,14.9125,37.625,14.9,1.0
037638_014938,03765_01495,37.6375,14.9375,37.625,14.925,1.0
037638_014962,03765_01495,37.6375,14.9625,37.625,14.95,1.0
037638_014988,03765_01495,37.6375,14.9875,37.625,14.975,1.0
037638_015012,03765_01505,37.6375,15.0125,37.625,15.0,1.0
037638_015038,03765_01505,37.6375,15.0375,37.625,15.025,1.0
037638_015062,03765_01505,37.6375,15.0625,37.625,15.05,1.0
037638_015088,03765_01505,37.6375,15.0875,37.625,15.075,1.0
037662_012912,03765_01295,37.6625,12.9125,37.65,12.9,1.0
037662_012938,03765_01295,37.6625,12.9375,37.65,12.925,1.0
037662_012962,03765_01295,37.6625,12.9625,37.65,12.95,1.0
037662_012988,03765_01295,37.6625,12.9875,37.65,12.975,1.0
037662_013112,03765_01315,37.6625,13.1125,37.65,13.1,1.0
037662_013138,03765_01315,37.6625,13.1375,37.65,13.125,1.0
037662_013162,03765_01315,37.6625,13.1625,37.65,13.15,1.0
037662_013188,03765_01315,37.6625,13.1875,37.65,13.175,1.0
037662_013312,03765_01335,37.6625,13.3125,37.65,13.3,1.0
037662_013338,03765_01335,37.6625,13.3375,37.65,13.325,1.0
037662_013362,03765_01335,37.6625,13.3625,37.65,13.35,1.0
037662_013388,03765_01335,37.6625,13.3875,37.65,13.375,1.0
037662_013412,03765_01345,37.6625,13.4125,37.65,13.4,1.0
037662_013438,03765_01345,37.6625,13.4375,37.65,13.425,1.0
037662_013462,03765_01345,37.6625,13.4625,37.65,13.45,1.0
037662_013488,03765_01345,37.6625,13.4875,37.65,13.475,1.0
037662_013512,03765_01355,37.6625,13.5125,37.65,13.5,1.0
037662_013538,03765_01355,37.6625,13.5375,37.65,13.525,1.0
037662_013562,03765_01355,37.6625,13.5625,37.65,13.55,1.0
037662_013588,03765_01355,37.6625,13.5875,37.65,13.575,1.0
037662_014412,03765_01445,37.6625,14.4125,37.65,14.4,1.0
