cell_id,lat,lon,dem_px,quota_media,quota_min,quota_max,quota_sd,pendenza_media,q_000_300,q_300_600,q_600_900,q_900_1200,q_1200_1600,q_1600_2000,q_2000_su,esp_n,esp_ne,esp_e,esp_se,esp_s,esp_so,esp_o,esp_no,northness,eastness,frac_pendente
04285_01075,42.85,10.75,14400,21.4,-1.0,310.7,51.0,2.2,0.9997,0.0003,0.0,0.0,0.0,0.0,0.0,0.1087,0.0746,0.1013,0.0854,0.0811,0.1041,0.195,0.2499,0.1329,-0.229,0.2262
04285_01085,42.85,10.85,14400,217.5,-0.1,621.1,136.4,11.84,0.7169,0.2822,0.0008,0.0,0.0,0.0,0.0,0.0875,0.1052,0.113,0.1043,0.1275,0.1539,0.1684,0.1403,-0.0486,-0.1173,0.9172
04285_01095,42.85,10.95,14400,124.5,0.5,535.5,94.0,8.14,0.946,0.054,0.0,0.0,0.0,0.0,0.0,0.0947,0.1374,0.2099,0.1747,0.1257,0.0918,0.0906,0.0751,-0.0716,0.2269,0.8069
04285_01105,42.85,11.05,14520,16.2,-0.6,216.2,27.8,1.29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0551,0.1085,0.2328,0.1613,0.0587,0.0827,0.2352,0.0657,-0.0507,0.0963,0.1174
04285_01115,42.85,11.15,14280,134.3,7.7,551.8,100.2,6.27,0.9305,0.0695,0.0,0.0,0.0,0.0,0.0,0.0617,0.0607,0.0987,0.1564,0.1563,0.1779,0.1833,0.1052,-0.2132,-0.1392,0.6552
04285_01125,42.85,11.25,14400,102.9,18.5,446.3,62.7,5.3,0.9909,0.0091,0.0,0.0,0.0,0.0,0.0,0.0793,0.1273,0.194,0.1198,0.132,0.1762,0.0972,0.0741,-0.1212,0.096,0.6809
04285_01135,42.85,11.35,14400,177.5,30.5,356.3,70.1,6.47,0.9748,0.0252,0.0,0.0,0.0,0.0,0.0,0.1138,0.1056,0.1039,0.105,0.0916,0.1676,0.18,0.1326,-0.0059,-0.1446,0.8119
04285_01145,42.85,11.45,14400,564.3,167.3,1157.3,248.6,9.72,0.1765,0.421,0.2581,0.1443,0.0,0.0,0.0,0.123,0.0705,0.0471,0.0461,0.0824,0.1514,0.2815,0.1981,0.0936,-0.4082,0.9657
04285_01155,42.85,11.55,14520,829.0,423.1,1574.5,193.3,10.21,0.0,0.1175,0.5537,0.2827,0.0461,0.0,0.0,0.1038,0.1305,0.1251,0.0964,0.0969,0.148,0.1441,0.1551,0.0388,-0.0788,0.9649
04285_01165,42.85,11.65,14280,893.6,398.0,1726.7,269.3,10.31,0.0,0.1097,0.4753,0.2646,0.141,0.0094,0.0,0.0795,0.1315,0.2336,0.1866,0.1436,0.1059,0.0721,0.0471,-0.1475,0.2868,0.9672
04285_01175,42.85,11.75,14400,433.9,272.8,886.7,107.6,7.56,0.0478,0.8638,0.0883,0.0,0.0,0.0,0.0,0.0688,0.1216,0.1865,0.1632,0.1567,0.1457,0.0931,0.0644,-0.1751,0.1553,0.8272
04285_01185,42.85,11.85,14400,483.0,272.2,775.8,103.6,8.76,0.018,0.8322,0.1499,0.0,0.0,0.0,0.0,0.088,0.0348,0.099,0.1416,0.0994,0.1425,0.2141,0.1805,-0.0641,-0.2218,0.9331
04285_01195,42.85,11.95,14400,451.4,227.5,818.3,148.6,7.88,0.1444,0.649,0.2067,0.0,0.0,0.0,0.0,0.1471,0.2095,0.216,0.165,0.0992,0.0606,0.0362,0.0665,0.0849,0.3593,0.9185
04285_01205,42.85,12.05,14520,313.4,174.8,554.1,80.8,7.76,0.5395,0.4605,0.0,0.0,0.0,0.0,0.0,0.0781,0.1219,0.1274,0.1136,0.0997,0.1568,0.2064,0.0962,-0.0603,-0.0966,0.7903
04285_01215,42.85,12.15,14280,450.1,167.2,692.8,94.9,9.06,0.0909,0.8855,0.0236,0.0,0.0,0.0,0.0,0.0765,0.0958,0.1235,0.0969,0.1136,0.1537,0.2166,0.1235,-0.0582,-0.1538,0.9239
04285_01225,42.85,12.25,14400,493.7,213.3,834.3,118.6,8.95,0.0281,0.7659,0.206,0.0,0.0,0.0,0.0,0.1038,0.1373,0.2175,0.1212,0.0715,0.0791,0.1365,0.1333,0.0864,0.1156,0.9475
04285_01235,42.85,12.35,14400,277.0,138.5,636.3,115.2,6.02,0.6017,0.3945,0.0038,0.0,0.0,0.0,0.0,0.1258,0.2327,0.2008,0.1288,0.0798,0.0389,0.1054,0.0877,0.1592,0.2687,0.6791
04285_01245,42.85,12.45,14400,312.5,138.0,632.3,106.7,7.66,0.5154,0.48,0.0046,0.0,0.0,0.0,0.0,0.0973,0.0605,0.0532,0.1117,0.1331,0.1641,0.201,0.1791,-0.0607,-0.2786,0.8652
04285_01255,42.85,12.55,14520,455.1,247.8,1089.4,165.5,7.37,0.1094,0.716,0.1525,0.022,0.0,0.0,0.0,0.1437,0.203,0.15,0.0617,0.0613,0.0981,0.1414,0.1409,0.2196,0.0314,0.8351
04285_01265,42.85,12.65,14280,316.1,208.5,624.6,69.1,4.73,0.4108,0.5882,0.0011,0.0,0.0,0.0,0.0,0.1233,0.1409,0.217,0.1677,0.1245,0.0611,0.0546,0.111,0.0122,0.264,0.6077
04285_01275,42.85,12.75,14400,415.0,208.1,1417.5,298.8,7.67,0.6036,0.1853,0.1042,0.0724,0.0344,0.0,0.0,0.0213,0.008,0.0143,0.0275,0.0763,0.2463,0.4456,0.1606,-0.1214,-0.7065,0.4795
04285_01285,42.85,12.85,14400,955.3,342.9,1420.9,203.8,16.66,0.0,0.0524,0.3545,0.4788,0.1142,0.0,0.0,0.0877,0.1087,0.1937,0.1891,0.0655,0.0749,0.1437,0.1367,0.0065,0.1114,0.9703
04285_01295,42.85,12.95,14400,759.4,346.2,1396.3,239.8,19.49,0.0,0.292,0.4502,0.1972,0.0606,0.0,0.0,0.0729,0.0876,0.1766,0.1613,0.0689,0.0857,0.1821,0.1648,0.0088,-0.0068,0.9825
04285_01305,42.85,13.05,14400,934.8,460.2,1454.9,218.1,14.78,0.0,0.0797,0.3495,0.4563,0.1145,0.0,0.0,0.1012,0.1766,0.1184,0.0803,0.1091,0.1589,0.1461,0.1094,0.0244,-0.0405,0.9645
04285_01315,42.85,13.15,14400,1323.7,688.0,1929.0,285.1,20.3,0.0,0.0,0.1011,0.2195,0.4893,0.1901,0.0,0.1122,0.115,0.1085,0.0809,0.1034,0.1399,0.2143,0.1259,0.022,-0.16,0.9778
04285_01325,42.85,13.25,14400,1606.2,800.4,2467.5,324.7,23.28,0.0,0.0,0.0066,0.0749,0.4382,0.3415,0.1388,0.0588,0.0971,0.1727,0.1715,0.0818,0.1229,0.1979,0.0974,-0.0916,0.0087,0.9231
04285_01335,42.85,13.35,14400,880.6,436.2,1475.9,196.4,16.93,0.0,0.0518,0.5506,0.319,0.0786,0.0,0.0,0.1172,0.1372,0.177,0.1717,0.0878,0.0809,0.0737,0.1544,0.0538,0.1611,0.9897
04285_01345,42.85,13.45,14400,509.6,217.5,973.4,134.5,13.95,0.0565,0.6708,0.2699,0.0028,0.0,0.0,0.0,0.1014,0.1242,0.1789,0.1627,0.1278,0.1466,0.0865,0.0719,-0.1095,0.1461,0.9769
04285_01355,42.85,13.55,14400,403.0,112.0,1122.4,200.2,13.18,0.3315,0.5219,0.108,0.0387,0.0,0.0,0.0,0.1479,0.1366,0.1132,0.14,0.0925,0.075,0.1437,0.1511,0.1068,-0.0004,0.954
04285_01365,42.85,13.65,14400,227.1,59.4,695.3,106.2,7.74,0.7875,0.2078,0.0047,0.0,0.0,0.0,0.0,0.17,0.1866,0.1525,0.1084,0.1083,0.0938,0.0994,0.081,0.1118,0.1462,0.8015
04285_01375,42.85,13.75,14400,151.1,21.1,322.4,75.6,5.49,0.9949,0.0051,0.0,0.0,0.0,0.0,0.0,0.1401,0.1206,0.1408,0.1086,0.1429,0.149,0.1198,0.0782,-0.0442,0.0142,0.6544
04285_01385,42.85,13.85,14400,104.2,2.0,317.3,65.5,4.84,0.9997,0.0003,0.0,0.0,0.0,0.0,0.0,0.143,0.1122,0.1365,0.1426,0.1475,0.1497,0.0602,0.1083,-0.0597,0.0739,0.5908
04285_01395,42.85,13.95,14400,11.9,-0.1,260.1,35.7,1.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1733,0.1653,0.3882,0.0796,0.0753,0.0312,0.0171,0.0698,0.2142,0.4889,0.1134
04295_01045,42.95,10.45,14280,7.9,0.0,282.0,34.3,1.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073,0.0453,0.0527,0.0157,0.0647,0.2625,0.3346,0.1516,-0.0403,-0.5408,0.0758
04295_01055,42.95,10.55,14399,19.6,-3.0,263.7,42.1,1.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0974,0.2066,0.1861,0.1801,0.1063,0.1152,0.0725,0.0358,-0.0542,0.2838,0.2097
