cell_id,parent_id,lat_min,lon_min,quota_media,delta_quota,bosco_frac,northness,idoneita_ospite,macroregione
040238_015138,04025_01515,40.225,15.125,75.3,-81.2,0.23737,0.23,0.55,mediterraneo
040238_015162,04025_01515,40.225,15.15,81.1,-75.4,0.1448,-0.2945,0.55,mediterraneo
040238_015188,04025_01515,40.225,15.175,159.4,2.9,0.10792,-0.4226,0.5901,mediterraneo
040238_015212,04025_01525,40.225,15.2,166.2,-278.3,0.38095,-0.0978,0.5457,mediterraneo
040238_015238,04025_01525,40.225,15.225,239.6,-204.9,0.3086,-0.1729,0.602,mediterraneo
040238_015262,04025_01525,40.225,15.25,398.4,-46.1,0.20918,-0.2466,0.8233,mediterraneo
040238_015288,04025_01525,40.225,15.275,542.9,98.4,0.47218,-0.0277,0.8571,mediterraneo
040238_015312,04025_01535,40.225,15.3,906.6,-58.6,0.64856,0.0038,0.956,appenninico
040238_015338,04025_01535,40.225,15.325,1252.3,287.1,1.0,-0.0265,0.8994,appenninico
040238_015362,04025_01535,40.225,15.35,934.2,-31.0,0.80272,0.0042,0.9616,appenninico
040238_015388,04025_01535,40.225,15.375,644.6,-320.6,0.8084,-0.0952,0.8211,appenninico
040238_015412,04025_01545,40.225,15.4,503.8,-544.7,0.57653,-0.1652,0.8548,mediterraneo
040238_015438,04025_01545,40.225,15.425,909.8,-138.7,0.15034,-0.5257,0.9034,appenninico
040238_015462,04025_01545,40.225,15.45,935.4,-113.1,0.69153,-0.0459,0.9738,appenninico
040238_015488,04025_01545,40.225,15.475,744.7,-303.8,0.80775,0.1231,0.901,appenninico
040238_015512,04025_01555,40.225,15.5,550.4,-271.1,0.65188,-0.2169,0.8537,mediterraneo
040238_015538,04025_01555,40.225,15.525,508.4,-313.1,0.29461,-0.6375,0.8573,mediterraneo
040238_015562,04025_01555,40.225,15.55,592.9,-228.6,0.43898,-0.2768,0.8696,mediterraneo
040238_015588,04025_01555,40.225,15.575,623.6,-197.9,0.4949,0.2453,0.7777,appenninico
040238_015612,04025_01565,40.225,15.6,704.8,55.8,0.73693,0.46,0.8848,appenninico
040238_015638,04025_01565,40.225,15.625,600.0,-49.0,0.94746,0.3827,0.7373,appenninico
040238_015662,04025_01565,40.225,15.65,574.5,-74.5,0.71404,0.2379,0.8631,mediterraneo
040238_015688,04025_01565,40.225,15.675,645.9,-3.1,0.87097,0.2454,0.8502,appenninico
040238_015712,04025_01575,40.225,15.7,925.3,-9.5,0.50593,-0.0325,0.9295,appenninico
040238_015738,04025_01575,40.225,15.725,993.3,58.5,0.27703,0.2291,0.993,appenninico
040238_015762,04025_01575,40.225,15.75,981.6,46.8,0.21939,0.3498,0.9902,appenninico
040238_015788,04025_01575,40.225,15.775,1006.9,72.1,0.30185,0.1976,0.9991,appenninico
040238_015812,04025_01585,40.225,15.8,912.5,82.2,0.55348,-0.0849,0.9081,appenninico
040238_015838,04025_01585,40.225,15.825,880.2,49.9,0.71987,-0.0886,0.8724,appenninico
040238_015862,04025_01585,40.225,15.85,797.4,-32.9,0.54806,-0.0604,0.9399,appenninico
040238_015888,04025_01585,40.225,15.875,691.3,-139.0,0.53401,0.2169,0.9454,appenninico
040238_015912,04025_01595,40.225,15.9,754.9,-40.3,0.78342,0.215,0.95,appenninico
040238_015938,04025_01595,40.225,15.925,744.4,-50.8,0.78078,0.4735,0.9524,appenninico
040238_015962,04025_01595,40.225,15.95,817.4,22.2,0.6893,0.5072,0.9612,appenninico
040238_015988,04025_01595,40.225,15.975,967.5,172.3,0.57895,0.5353,0.9408,appenninico
040238_016012,04025_01605,40.225,16.0,851.8,135.4,0.33053,0.6951,0.9475,appenninico
040238_016038,04025_01605,40.225,16.025,733.4,17.0,0.47797,0.4737,0.9394,appenninico
040238_016062,04025_01605,40.225,16.05,624.4,-92.0,0.5399,0.4994,0.816,appenninico
040238_016087,04025_01605,40.225,16.075,577.0,-139.4,0.5152,0.4804,0.8711,mediterraneo
040238_016112,04025_01615,40.225,16.1,508.9,-89.4,0.47377,0.1497,0.8623,mediterraneo
040238_016138,04025_01615,40.225,16.125,617.3,19.0,0.37521,0.097,0.8077,appenninico
040238_016163,04025_01615,40.225,16.15,658.4,60.1,0.89171,0.091,0.8291,appenninico
040238_016188,04025_01615,40.225,16.175,711.3,113.0,0.47466,0.1787,0.8621,appenninico
040238_016337,04025_01635,40.225,16.325,482.4,74.3,0.11715,0.5427,0.8528,mediterraneo
040238_016362,04025_01635,40.225,16.35,625.7,217.6,0.61186,0.5244,0.8034,appenninico
040238_016388,04025_01635,40.225,16.375,609.7,201.6,0.41286,0.1951,0.808,appenninico
040238_016412,04025_01645,40.225,16.4,460.2,173.0,0.33277,0.0923,0.8478,mediterraneo
040238_016438,04025_01645,40.225,16.425,315.4,28.2,0.49577,-0.327,0.6233,mediterraneo
040238_016462,04025_01645,40.225,16.45,228.7,-58.5,0.41667,-0.3015,0.4343,mediterraneo
040262_008612,04025_00865,40.25,8.6,440.0,-126.6,0.14089,0.2639,0.85,mediterraneo
040262_008638,04025_00865,40.25,8.625,488.6,-78.0,0.13311,0.3679,0.85,mediterraneo
040262_008662,04025_00865,40.25,8.65,565.0,-1.6,0.13448,0.5827,0.8456,mediterraneo
040262_008688,04025_00865,40.25,8.675,638.1,71.5,0.27806,0.7132,0.868,appenninico
040262_009138,04025_00915,40.25,9.125,363.5,-105.9,0.24489,0.0704,0.7097,mediterraneo
040262_009162,04025_00915,40.25,9.15,561.2,91.8,0.61705,0.1511,0.8584,mediterraneo
040262_009188,04025_00915,40.25,9.175,595.0,125.6,0.36713,0.1804,0.8743,mediterraneo
040262_009212,04025_00925,40.25,9.2,664.8,42.5,0.5202,0.0395,0.923,appenninico
040262_009238,04025_00925,40.25,9.225,600.1,-22.2,0.69344,-0.1191,0.783,appenninico
040262_009262,04025_00925,40.25,9.25,491.2,-131.1,0.29088,-0.0508,0.8553,mediterraneo
040262_009288,04025_00925,40.25,9.275,472.6,-149.7,0.24232,0.3085,0.8518,mediterraneo
040262_009312,04025_00935,40.25,9.3,475.0,33.2,0.31111,0.3719,0.8335,mediterraneo
040262_009338,04025_00935,40.25,9.325,290.2,-151.6,0.12585,0.1366,0.5666,mediterraneo
040262_009412,04025_00945,40.25,9.4,607.3,12.8,0.48325,0.4016,0.7122,appenninico
040262_009438,04025_00945,40.25,9.425,965.8,371.3,0.27609,0.3913,0.8975,appenninico
040262_009462,04025_00945,40.25,9.45,637.2,42.7,0.30981,0.2506,0.7855,appenninico
040262_009488,04025_00945,40.25,9.475,344.1,-250.4,0.4201,-0.2069,0.6974,mediterraneo
040262_009512,04025_00955,40.25,9.5,380.1,-32.1,0.13903,0.2148,0.741,mediterraneo
040262_009588,04025_00955,40.25,9.575,573.0,160.8,0.76367,0.1035,0.8722,mediterraneo
040262_015012,04025_01505,40.25,15.0,432.9,16.2,0.28328,0.3394,0.7943,mediterraneo
040262_015038,04025_01505,40.25,15.025,641.7,225.0,0.73737,0.4062,0.8074,appenninico
040262_015062,04025_01505,40.25,15.05,604.7,188.0,0.71066,0.7225,0.7689,appenninico
040262_015088,04025_01505,40.25,15.075,281.3,-135.4,0.60068,0.3775,0.6646,mediterraneo
040262_015112,04025_01515,40.25,15.1,123.3,-33.2,0.59661,-0.041,0.55,mediterraneo
040262_015138,04025_01515,40.25,15.125,91.0,-65.5,0.45347,-0.2676,0.5105,mediterraneo
040262_015162,04025_01515,40.25,15.15,144.9,-11.6,0.58277,-0.0454,0.546,mediterraneo
040262_015188,04025_01515,40.25,15.175,216.3,59.8,0.7155,0.3189,0.5921,mediterraneo
040262_015212,04025_01525,40.25,15.2,291.0,-153.5,0.57239,-0.1392,0.6657,mediterraneo
040262_015238,04025_01525,40.25,15.225,360.9,-83.6,0.42687,-0.4176,0.7474,mediterraneo
