cell_id,lat,lon,land_frac,clc_311_latifoglie,clc_312_conifere,clc_313_misto,clc_321_praterie,clc_322_brughiere,clc_323_sclerofille,clc_324_transizione,clc_px_validi,bosco_ha,bosco_frac
037212_014312,37.2125,14.3125,1.0,0.30278,0.0,0.15057,0.05074,0.0,0.0,0.06547,611,277,0.45335
037212_014338,37.2125,14.3375,1.0,0.05636,0.06441,0.12882,0.0,0.0,0.60709,0.0,621,155,0.24959
037212_014362,37.2125,14.3625,1.0,0.42045,0.24188,0.0,0.0,0.0,0.24188,0.0,616,408,0.66233
037212_014388,37.2125,14.3875,1.0,0.05882,0.0,0.0,0.0,0.0,0.0,0.0,612,36,0.05882
037212_014412,37.2125,14.4125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617,0,0.0
037212_014438,37.2125,14.4375,1.0,0.0,0.0,0.0,0.0,0.0,0.17638,0.0,618,0,0.0
037212_014462,37.2125,14.4625,1.0,0.0,0.0,0.0,0.0,0.0,0.57096,0.0,613,0,0.0
037212_014488,37.2125,14.4875,1.0,0.0,0.0,0.0,0.0,0.0,0.08279,0.0,616,0,0.0
037238_014212,37.2375,14.2125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622,0,0.0
037238_014238,37.2375,14.2375,1.0,0.02936,0.0,0.0,0.0,0.0,0.0,0.0,613,18,0.02936
037238_014262,37.2375,14.2625,1.0,0.63502,0.0,0.0,0.0,0.0,0.0,0.0,611,388,0.63502
037238_014288,37.2375,14.2875,1.0,0.39677,0.01774,0.0,0.00161,0.0,0.10968,0.0129,620,257,0.41451
037238_014312,37.2375,14.3125,1.0,0.02755,0.06969,0.0,0.047,0.0,0.0,0.00486,617,60,0.09724
037238_014338,37.2375,14.3375,1.0,0.53922,0.0,0.0,0.00654,0.0,0.16993,0.0,612,330,0.53922
037238_014362,37.2375,14.3625,1.0,0.43831,0.0,0.0,0.41234,0.0,0.01786,0.0,616,270,0.43831
037238_014388,37.2375,14.3875,1.0,0.12318,0.0,0.0,0.07293,0.0,0.0,0.0,617,76,0.12318
037238_014412,37.2375,14.4125,1.0,0.28293,0.0,0.0,0.0,0.0,0.0,0.0,615,174,0.28293
037238_014438,37.2375,14.4375,1.0,0.09756,0.0,0.0,0.0,0.0,0.0,0.00976,615,60,0.09756
037238_014462,37.2375,14.4625,1.0,0.0,0.0,0.0,0.0,0.0,0.00649,0.03409,616,0,0.0
037238_014488,37.2375,14.4875,1.0,0.0,0.0,0.0,0.0,0.0,0.24228,0.0,615,0,0.0
037262_014212,37.2625,14.2125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611,0,0.0
037262_014238,37.2625,14.2375,1.0,0.30435,0.0,0.0,0.0,0.0,0.0,0.0,621,189,0.30435
037262_014262,37.2625,14.2625,1.0,0.40681,0.0,0.0,0.10697,0.0,0.10373,0.0,617,251,0.40681
037262_014288,37.2625,14.2875,1.0,0.06036,0.0,0.0,0.07341,0.0,0.07667,0.0,613,37,0.06036
037262_014312,37.2625,14.3125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614,0,0.0
037262_014338,37.2625,14.3375,1.0,0.35494,0.0,0.0,0.0,0.0,0.0,0.0,617,219,0.35494
037262_014362,37.2625,14.3625,1.0,0.35122,0.0,0.0,0.00488,0.0,0.0,0.0,615,216,0.35122
037262_014388,37.2625,14.3875,1.0,0.71545,0.0,0.0,0.02114,0.0,0.0,0.0,615,440,0.71545
037262_014412,37.2625,14.4125,1.0,0.80195,0.0,0.0,0.0,0.0,0.0276,0.0,616,494,0.80195
037262_014438,37.2625,14.4375,1.0,0.48534,0.04886,0.0,0.0,0.0,0.12866,0.14332,614,328,0.5342
037262_014462,37.2625,14.4625,1.0,0.0,0.0,0.0,0.04221,0.0,0.06169,0.17208,616,0,0.0
037262_014488,37.2625,14.4875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616,0,0.0
037288_014212,37.2875,14.2125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616,0,0.0
037288_014238,37.2875,14.2375,1.0,0.02124,0.0,0.0,0.0,0.0,0.0,0.0,612,13,0.02124
037288_014262,37.2875,14.2625,1.0,0.10586,0.0,0.0,0.0,0.0,0.01792,0.0,614,65,0.10586
037288_014288,37.2875,14.2875,1.0,0.12966,0.0,0.0,0.0,0.0,0.23663,0.0,617,80,0.12966
037288_014312,37.2875,14.3125,1.0,0.07655,0.0,0.0,0.0,0.0,0.13844,0.0,614,47,0.07655
037288_014338,37.2875,14.3375,1.0,0.24026,0.0,0.04545,0.0,0.0,0.0,0.0,616,176,0.28571
037288_014362,37.2875,14.3625,1.0,0.02764,0.0,0.0,0.0,0.0,0.0,0.0,615,17,0.02764
037288_014388,37.2875,14.3875,1.0,0.09446,0.0,0.0,0.04397,0.0,0.0,0.0,614,58,0.09446
037288_014412,37.2875,14.4125,1.0,0.03896,0.0,0.0,0.0,0.0,0.02597,0.0,616,24,0.03896
037288_014438,37.2875,14.4375,1.0,0.0,0.0,0.0,0.0,0.0,0.01623,0.0,616,0,0.0
037288_014462,37.2875,14.4625,1.0,0.0,0.0,0.0,0.0,0.0,0.00326,0.0,613,0,0.0
