cell_id,lat,lon,land_frac,clc_311_latifoglie,clc_312_conifere,clc_313_misto,clc_321_praterie,clc_322_brughiere,clc_323_sclerofille,clc_324_transizione,clc_px_validi,bosco_ha,bosco_frac
03765_01445,37.65,14.45,1.0,0.0918,0.01246,0.0,0.00429,0.0,0.07791,0.00051,9793,1021,0.10426
03765_01455,37.65,14.55,1.0,0.03829,0.0,0.0,0.04819,0.0,0.0973,0.0,9794,375,0.03829
03765_01465,37.65,14.65,1.0,0.01388,0.0,0.0,0.06298,0.0,0.05033,0.0,9796,136,0.01388
03765_01475,37.65,14.75,1.0,0.0,0.0,0.0,0.12079,0.0,0.03084,0.0,9794,0,0.0
03765_01485,37.65,14.85,1.0,0.00847,0.0,0.0,0.0,0.0,0.04981,0.0,9797,83,0.00847
03765_01495,37.65,14.95,1.0,0.26149,0.01195,0.005,0.0,0.00827,0.05605,0.00939,9794,2727,0.27844
03765_01505,37.65,15.05,1.0,0.22255,0.01134,0.0,0.0,0.00419,0.04851,0.05781,9791,2290,0.23389
03765_01515,37.65,15.15,0.8829,0.01755,0.0,0.0,0.0,0.0,0.00041,0.0,9798,172,0.01755
03775_01245,37.75,12.45,0.3916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9783,0,0.0
03775_01255,37.75,12.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9783,0,0.0
03775_01265,37.75,12.65,1.0,0.0,0.0,0.0,0.0,0.0,0.01084,0.0,9777,0,0.0
03775_01275,37.75,12.75,1.0,0.0,0.0,0.0,0.0,0.0,0.00521,0.0,9785,0,0.0
03775_01285,37.75,12.85,1.0,0.01278,0.0,0.0,0.0,0.0,0.01339,0.0,9783,125,0.01278
03775_01295,37.75,12.95,1.0,0.03425,0.02301,0.0,0.0,0.0,0.01636,0.0,9780,560,0.05726
03775_01305,37.75,13.05,1.0,0.00634,0.00337,0.0,0.00307,0.0,0.04335,0.01002,9780,95,0.00971
03775_01315,37.75,13.15,1.0,0.05982,0.01207,0.0,0.01268,0.0,0.05767,0.0,9780,703,0.07189
03775_01325,37.75,13.25,1.0,0.03455,0.04477,0.01503,0.01124,0.0,0.03567,0.0,9783,923,0.09435
03775_01335,37.75,13.35,1.0,0.08779,0.04108,0.01298,0.04303,0.0,0.07246,0.00286,9785,1388,0.14185
03775_01345,37.75,13.45,1.0,0.01892,0.00491,0.0,0.00522,0.0,0.018,0.0047,9777,233,0.02383
03775_01355,37.75,13.55,1.0,0.06892,0.04652,0.0,0.04959,0.0,0.00787,0.0,9780,1129,0.11544
03775_01365,37.75,13.65,1.0,0.0,0.0,0.0,0.00286,0.0,0.01328,0.0,9786,0,0.0
03775_01375,37.75,13.75,1.0,0.00184,0.0,0.0,0.00655,0.0,0.01074,0.0,9778,18,0.00184
03775_01385,37.75,13.85,1.0,0.0,0.00358,0.0,0.0,0.0,0.00767,0.0,9783,35,0.00358
03775_01395,37.75,13.95,1.0,0.0,0.0,0.0,0.06781,0.0,0.00634,0.0,9778,0,0.0
03775_01405,37.75,14.05,1.0,0.00051,0.0,0.0,0.01564,0.0,0.05776,0.0,9782,5,0.00051
03775_01415,37.75,14.15,1.0,0.0,0.01216,0.0,0.04037,0.0,0.03434,0.0,9784,119,0.01216
03775_01425,37.75,14.25,1.0,0.05654,0.01442,0.00041,0.00705,0.0,0.27737,0.0,9781,698,0.07137
03775_01435,37.75,14.35,1.0,0.00491,0.0,0.06306,0.03015,0.0,0.14778,0.0,9785,665,0.06797
03775_01445,37.75,14.45,1.0,0.10693,0.0,0.0,0.00184,0.0,0.01983,0.00307,9782,1046,0.10693
03775_01455,37.75,14.55,1.0,0.07033,0.00828,0.0,0.01963,0.0,0.13811,0.0047,9782,769,0.07861
03775_01465,37.75,14.65,1.0,0.01902,0.0,0.03609,0.05695,0.0,0.23167,0.00787,9781,539,0.05511
